港澳,#genre#
MTV Live HD 频道,http://103.45.68.47/gy/gy213/xsj.php?id=mtv
国兴卫视,http://103.45.68.47/gy/gy213/xsj.php?id=gold-sun-tv
新马,#genre#
Astro Awani,http://103.45.68.47/gy/gy213/xsj.php?id=astro-awani
Astro Ceria,http://103.45.68.47/gy/gy213/xsj.php?id=astro-ceria
Astro ONE,http://103.45.68.47/gy/gy213/xsj.php?id=astro-one
Astro Prima,http://103.45.68.47/gy/gy213/xsj.php?id=astro-prima
Astro Oasis,http://103.45.68.47/gy/gy213/xsj.php?id=astro-oasis
Astro Warna,http://103.45.68.47/gy/gy213/xsj.php?id=astro-warna
Astro Rania,http://103.45.68.47/gy/gy213/xsj.php?id=astro-rania
Astro Aura,http://103.45.68.47/gy/gy213/xsj.php?id=astro-aura
8TV,http://103.45.68.47/gy/gy213/xsj.php?id=8tv
TV9,http://103.45.68.47/gy/gy213/xsj.php?id=tv9
Astro Citra,http://103.45.68.47/gy/gy213/xsj.php?id=astro-citra
Astro AEC,http://103.45.68.47/gy/gy213/xsj.php?id=astro-aec
Astro 双星台,http://103.45.68.47/gy/gy213/xsj.php?id=astro-shuangxing
Astro AOD HD,http://103.45.68.47/gy/gy213/xsj.php?id=astro-aod-hd
Astro 欢喜台,http://103.45.68.47/gy/gy213/xsj.php?id=astro-huaheedai
Astro AOD,http://103.45.68.47/gy/gy213/xsj.php?id=astro-aod
Astro Arena HD,http://103.45.68.47/gy/gy213/xsj.php?id=astro-arena-hd
Astro Arena 2,http://103.45.68.47/gy/gy213/xsj.php?id=astro-arena2
Astro 爱奇艺,http://103.45.68.47/gy/gy213/xsj.php?id=astro-iqiyi
Channel 5,http://103.45.68.47/gy/gy213/xsj.php?id=channel-5
Channel U,http://103.45.68.47/gy/gy213/xsj.php?id=channel-u
OKEY,http://103.45.68.47/gy/gy213/xsj.php?id=okey
Astro 华丽台,http://103.45.68.47/gy/gy213/xsj.php?id=astro-wahlaitoi
Channel 8,http://103.45.68.47/gy/gy213/xsj.php?id=channel8
体育,#genre#
纬来体育,http://103.45.68.47/gy/gy213/xsj.php?id=videoland-sport
ELEVEN体育-1,http://103.45.68.47/gy/gy213/xsj.php?id=eleven-sport1
ELEVEN体育-2,http://103.45.68.47/gy/gy213/xsj.php?id=eleven-sport2
博斯运动-1,http://103.45.68.47/gy/gy213/xsj.php?id=sportcast1
博斯运动-2,http://103.45.68.47/gy/gy213/xsj.php?id=sportcast2
博斯高球-1,http://103.45.68.47/gy/gy213/xsj.php?id=sportcast-golf1
博斯高球-2,http://103.45.68.47/gy/gy213/xsj.php?id=sportcast-golf2
博斯网球,http://103.45.68.47/gy/gy213/xsj.php?id=sportcast-tennis
Sony Sports 1 HD,http://103.45.68.47/gy/gy213/xsj.php?id=super-sports1
Sony Sports 2 HD,http://103.45.68.47/gy/gy213/xsj.php?id=super-sports2
Sony Sports 3 HD,http://103.45.68.47/gy/gy213/xsj.php?id=super-sports3
Sony Sports 4 HD,http://103.45.68.47/gy/gy213/xsj.php?id=super-sports4
Eurosports-2,http://103.45.68.47/gy/gy213/xsj.php?id=super-sports5
beIN Sports MAX,http://103.45.68.47/gy/gy213/xsj.php?id=bein-max
SPOTV-2,http://103.45.68.47/gy/gy213/xsj.php?id=spotv2
SPOTV,http://103.45.68.47/gy/gy213/xsj.php?id=spotv
beIN Sports 2,http://103.45.68.47/gy/gy213/xsj.php?id=bein-sports2
beIN Sports 1,http://103.45.68.47/gy/gy213/xsj.php?id=bein-sports1
beIN Sports 3,http://103.45.68.47/gy/gy213/xsj.php?id=bein-sports3
Eurosport HD,http://103.45.68.47/gy/gy213/xsj.php?id=eurosport-hd
Eurosports-1,http://103.45.68.47/gy/gy213/xsj.php?id=eurosports-1
博斯无限,http://103.45.68.47/gy/gy213/xsj.php?id=sportcast-wx
ELTA体育-1,http://103.45.68.47/gy/gy213/xsj.php?id=elta-sport1
ELTA体育-2,http://103.45.68.47/gy/gy213/xsj.php?id=elta-sport2
ELTA体育-3,http://103.45.68.47/gy/gy213/xsj.php?id=elta-sport3
少儿,#genre#
靖天卡通台,http://103.45.68.47/gy/gy213/xsj.php?id=jtkt
Astro 小太阳,http://103.45.68.47/gy/gy213/xsj.php?id=astro-xty
东森幼幼台,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-yoyo
MOMOTV,http://103.45.68.47/gy/gy213/xsj.php?id=momotv
小尼克频道,http://103.45.68.47/gy/gy213/xsj.php?id=nick-jr
MOMO亲子台,http://103.45.68.47/gy/gy213/xsj.php?id=momo-kids
CN卡通,http://103.45.68.47/gy/gy213/xsj.php?id=cn-cartoon
Boomerang HD,http://103.45.68.47/gy/gy213/xsj.php?id=boomerang-hd
Animax卡通,http://103.45.68.47/gy/gy213/xsj.php?id=animax-cartoon
尼克儿童频道,http://103.45.68.47/gy/gy213/xsj.php?id=nickelodeon
人文自然,#genre#
国家地理,http://103.45.68.47/gy/gy213/xsj.php?id=natgeo
国家地理 野生频道,http://103.45.68.47/gy/gy213/xsj.php?id=natgeo-wild
动物星球频道,http://103.45.68.47/gy/gy213/xsj.php?id=animal-planet
探索频道,http://103.45.68.47/gy/gy213/xsj.php?id=discovery
DMAX,http://103.45.68.47/gy/gy213/xsj.php?id=dmax
探索科学频道,http://103.45.68.47/gy/gy213/xsj.php?id=discovery-sci
探索亚洲频道,http://103.45.68.47/gy/gy213/xsj.php?id=discovery-asia
History 频道,http://103.45.68.47/gy/gy213/xsj.php?id=history
History-2 频道,http://103.45.68.47/gy/gy213/xsj.php?id=history-2
TLC 旅游生活頻道,http://103.45.68.47/gy/gy213/xsj.php?id=tlc
